c1,c2,stim,nparses,ratingcmp,ratingC1,ratingC2,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
break,axe,breakaxe,1,54.696968,57.939392,80,9.21,-0.172326923,-0.378298429,1
pick,axes,pickaxes,1,63.407406,56.814816,77.444443,9.21,-0.172326923,-0.378298429,1
cry,babies,crybabies,1,81.178574,84.25,67.678574,8.22,-0.240416714,-0.333869389,1
bush,baby,bushbaby,1,54.766666,44.466667,58.566666,8.2,-0.368110014,-0.390390487,1
cry,baby,crybaby,1,79.413795,85.172417,66.620689,8.22,-0.240416714,-0.333869389,1
prickle,back,prickleback,1,52,58.758621,58.310345,10.2,-0.311252275,-0.34153833,1
sling,back,slingback,1,53.590908,71.13636,63.590908,5.36,-0.377779361,-0.401226698,1
wet,back,wetback,1,50.833332,61.708332,58.083332,8.43,-0.368585006,-0.373494219,1
throw,back,throwback,1,67.548386,34.516129,68.258064,6.89,-0.373488544,-0.392107012,1
paper,back,paperback,1,50.25,82.525002,44.049999,9.63,-0.346074991,-0.378024861,1
claw,back,clawback,1,53.875,49.875,56.166668,6.89,-0.373488544,-0.392107012,1
hump,back,humpback,1,60.257141,66.828575,67.771431,6.81,-0.376751684,-0.400548104,1
kick,back,kickback,1,58.766666,47.586208,52.724136,6.78,-0.376818783,-0.400374046,1
flash,back,flashback,1,55.648647,48.891891,74.135132,8.2,-0.368110014,-0.390390487,1
buy,back,buyback,1,76.172417,79.413795,66.758621,8.22,-0.240416714,-0.333869389,1
lobster,back,lobsterback,1,50.541668,73.75,58.708332,9.63,-0.346074991,-0.378024861,1
blow,back,blowback,1,58.965519,62.103447,69,6.89,-0.373488544,-0.392107012,1
tie,back,tieback,1,68.481483,76.074074,65.333336,10.2,-0.311252275,-0.34153833,1
hard,back,hardback,1,56.604168,71.083336,65.5625,7.33,-0.364368351,-0.395126906,1
hunch,back,hunchback,1,79.625,88.449997,85.699997,8.2,-0.368110014,-0.390390487,1
quarter,back,quarterback,1,52.310345,26.413794,34.689655,9.63,-0.346074991,-0.378024861,1
out,back,outback,1,70.35714,63.857143,70.321426,8.43,-0.368585006,-0.373494219,1
fall,back,fallback,1,68,68.260872,67.91304,8.6,-0.36915888,-0.394313761,1
cut,back,cutback,1,55.23077,57.051281,56.897434,8.43,-0.368585006,-0.373494219,1
roll,back,rollback,1,62.035713,45.82143,70.714287,8.6,-0.36915888,-0.394313761,1
horse,back,horseback,1,76.512817,88.384613,77.410255,10.2,-0.311252275,-0.34153833,1
hatch,back,hatchback,1,52.717949,57.153847,58.666668,8.2,-0.368110014,-0.390390487,1
call,back,callback,1,77.535713,84.64286,58.607143,8.6,-0.36915888,-0.394313761,1
saddle,back,saddleback,1,70.875,82.291664,66.916664,10.2,-0.311252275,-0.34153833,1
leather,back,leatherback,1,62.416668,72.791664,62.458332,9.63,-0.346074991,-0.378024861,1
pay,back,payback,1,75.148148,79.5,69.653847,8.22,-0.240416714,-0.333869389,1
gray,back,grayback,1,53.551723,70.068962,65.379311,8.22,-0.240416714,-0.333869389,1
play,back,playback,1,68.033333,78.800003,62.833332,8.22,-0.240416714,-0.333869389,1
tail,back,tailback,1,50.5625,59.71875,61.65625,8.6,-0.36915888,-0.394313761,1
set,back,setback,1,63,65.108109,76.135132,8.43,-0.368585006,-0.373494219,1
fin,back,finback,1,57.82143,65.714287,66.39286,8.42,-0.370885802,-0.395060031,1
pull,back,pullback,1,77.903229,82.19355,78.677422,8.6,-0.36915888,-0.394313761,1
soft,back,softback,1,55.115383,68.96154,66.92308,8.43,-0.368585006,-0.373494219,1
silver,back,silverback,1,62.8125,62.042553,66.085106,9.63,-0.346074991,-0.378024861,1
line,backers,linebackers,1,56.19355,66.935486,61.096775,10.2,-0.311252275,-0.34153833,1
call,backs,callbacks,1,79.5625,83.8125,68.1875,8.6,-0.36915888,-0.394313761,1
cut,backs,cutbacks,1,58.142857,59.82143,61.892857,8.43,-0.368585006,-0.373494219,1
hump,backs,humpbacks,1,76.599998,68.639999,71.760002,6.81,-0.376751684,-0.400548104,1
play,backs,playbacks,1,72.666664,83.26667,49.533333,8.22,-0.240416714,-0.333869389,1
hard,backs,hardbacks,1,54.407406,53.851852,55.962963,7.33,-0.364368351,-0.395126906,1
pay,backs,paybacks,1,73.666664,67.217392,44.130436,8.22,-0.240416714,-0.333869389,1
out,backs,outbacks,1,62.299999,62.299999,55.099998,8.43,-0.368585006,-0.373494219,1
hunch,backs,hunchbacks,1,87.416664,92.638298,92.553192,8.2,-0.368110014,-0.390390487,1
roll,backs,rollbacks,1,50.740742,41,50.222221,8.6,-0.36915888,-0.394313761,1
pull,backs,pullbacks,1,67.904762,64.571426,58.761906,8.6,-0.36915888,-0.394313761,1
flash,backs,flashbacks,1,64.639999,61.240002,73.360001,8.2,-0.368110014,-0.390390487,1
kick,backs,kickbacks,1,53.933334,48.200001,50.566666,6.78,-0.376818783,-0.400374046,1
canvas,backs,canvasbacks,1,58.392857,78.321426,71.10714,8.59,-0.356676664,-0.378338393,1
draw,backs,drawbacks,1,52.42857,47.857143,66,6.89,-0.373488544,-0.392107012,1
paper,backs,paperbacks,1,66,80.60714,47.42857,9.63,-0.346074991,-0.378024861,1
buy,backs,buybacks,1,69.137932,75.896553,64.344826,8.22,-0.240416714,-0.333869389,1
school,bag,schoolbag,1,94.181816,85.090912,95.590912,8.6,-0.36915888,-0.394313761,1
bean,bag,beanbag,1,63.535713,48.285713,74.5,8.42,-0.370885802,-0.395060031,1
feed,bag,feedbag,1,64.525002,77.574997,78.425003,7.33,-0.364368351,-0.395126906,1
money,bag,moneybag,1,87.519997,83.68,78.760002,8.22,-0.240416714,-0.333869389,1
hand,bag,handbag,1,72.564102,57.435898,93.07692,7.33,-0.364368351,-0.395126906,1
